,pca0,pca1,tsne0,tsne1,impath,action
0,-1.2571236,-0.30788815,1.0767773,39.211277,0.png,2
1,-0.95864433,-0.4904196,-1.9872884,13.257362,1.png,2
2,-0.2204813,0.92155427,-35.922737,-2.0437212,2.png,1
3,0.9034927,0.73911196,29.158154,-10.215887,3.png,2
4,1.5327575,-0.86235875,0.1480424,-33.814228,4.png,2
5,-1.2571251,-0.30788636,1.076915,39.211536,5.png,2
6,-0.95864433,-0.4904204,-1.9629415,13.33251,6.png,2
7,-0.2204813,0.92155427,-35.913048,-1.9543178,7.png,1
8,0.9034927,0.73911196,29.157747,-10.215249,8.png,2
9,1.5327575,-0.86235875,0.15005325,-33.818954,9.png,2
10,-1.2571251,-0.30788636,1.1861628,39.158607,10.png,2
11,-0.95864433,-0.4904204,-1.9848591,13.309293,11.png,2
12,-0.2204813,0.92155427,-35.89779,-1.9461067,12.png,1
13,0.9034927,0.73911196,29.159761,-10.218362,13.png,2
14,1.5327575,-0.86235875,0.041191336,-33.87479,14.png,2
15,-1.2571251,-0.30788636,1.1525295,39.12134,15.png,2
16,-0.95864433,-0.4904204,-1.976568,13.321282,16.png,2
17,-0.2204813,0.92155427,-35.913048,-1.9543178,17.png,1
18,0.9034927,0.73911196,29.22995,-10.125757,18.png,2
19,1.5327575,-0.86235875,0.04840442,-33.88371,19.png,2
20,-1.2571251,-0.30788636,1.1562195,39.230713,20.png,2
21,-0.95864433,-0.4904204,-1.9277383,13.22032,21.png,2
22,-0.2204813,0.92155427,-35.866547,-1.9433167,22.png,1
23,0.9034927,0.73911196,29.159752,-10.2183485,23.png,2
24,1.5327575,-0.86235875,0.08689384,-33.783123,24.png,2
25,-1.2571251,-0.30788636,1.1535549,39.23199,25.png,2
26,-0.95864433,-0.4904204,-1.9366562,13.220785,26.png,2
27,-0.2204813,0.92155427,-35.817665,-2.0083992,27.png,1
28,0.9034927,0.73911196,29.258749,-10.222152,28.png,2
29,1.5327575,-0.86235875,0.14879617,-33.87176,29.png,2
30,-1.2571251,-0.30788636,1.1861956,39.158764,30.png,2
31,-0.95864433,-0.4904204,-1.9855033,13.307808,31.png,2
32,-0.2204813,0.92155427,-35.817844,-2.0099473,32.png,1
33,0.9034927,0.73911196,29.241356,-10.130756,33.png,2
34,1.5327575,-0.86235875,0.15083495,-33.867367,34.png,2
35,-1.2571251,-0.30788636,1.0670284,39.181496,35.png,2
36,-0.95864433,-0.4904204,-1.9793097,13.317913,36.png,2
37,-0.2204813,0.92155427,-35.81781,-2.0101888,37.png,1
38,0.9034927,0.73911196,29.196959,-10.124881,38.png,2
39,1.5327575,-0.86235875,0.049357288,-33.88521,39.png,2
40,-1.2571251,-0.30788636,1.1492928,39.23392,40.png,2
41,-0.95864433,-0.4904204,-1.9570472,13.227507,41.png,2
42,-0.2204813,0.92155427,-35.817913,-2.0109556,42.png,1
43,0.9034927,0.73911196,29.15033,-10.196064,43.png,2
44,1.5327575,-0.86235875,0.07572699,-33.786198,44.png,2
45,-1.2571251,-0.30788636,1.1441493,39.23558,45.png,2
46,-0.95864433,-0.4904204,-1.9463941,13.222612,46.png,2
47,-0.2204813,0.92155427,-35.866547,-1.9433167,47.png,1
48,0.9034927,0.73911196,29.151,-10.167123,48.png,2
49,1.5327575,-0.86235875,0.07600339,-33.78612,49.png,2
50,-1.2571251,-0.30788636,1.1433312,39.23575,50.png,2
51,-0.95864433,-0.4904204,-1.9772506,13.321671,51.png,2
52,-0.2204813,0.92155427,-35.921684,-2.0447943,52.png,1
53,0.9034927,0.73911196,29.159761,-10.218362,53.png,2
54,1.5327575,-0.86235875,0.08701563,-33.78378,54.png,2
55,-1.2571251,-0.30788636,1.145621,39.118805,55.png,2
56,-0.95864433,-0.4904204,-1.9568527,13.227432,56.png,2
57,-0.2204813,0.92155427,-35.91401,-1.9550222,57.png,1
58,0.9034927,0.73911196,29.1511,-10.166799,58.png,2
59,1.5327575,-0.86235875,0.15083495,-33.867367,59.png,2
60,-1.2571251,-0.30788636,1.0675169,39.185925,60.png,2
61,-0.95864433,-0.4904204,-1.941085,13.221468,61.png,2
62,-0.2204813,0.92155427,-35.921783,-2.0446975,62.png,1
63,0.9034927,0.73911196,29.1508,-10.198407,63.png,2
64,1.5327575,-0.86235875,0.048145182,-33.883472,64.png,2
65,-1.2571251,-0.30788636,1.1553856,39.231106,65.png,2
66,-0.95864433,-0.4904204,-1.8746707,13.306362,66.png,2
67,-0.2204813,0.92155427,-35.81791,-2.0104458,67.png,1
68,0.9034927,0.73911196,29.229868,-10.125717,68.png,2
69,1.5327575,-0.86235875,0.041292578,-33.874935,69.png,2
70,-1.2571251,-0.30788636,1.1467782,39.119244,70.png,2
71,-0.95864433,-0.4904204,-1.9693696,13.327791,71.png,2
72,-0.2204813,0.92155427,-35.866547,-1.9433167,72.png,1
73,0.9034927,0.73911196,29.229864,-10.125722,73.png,2
74,1.5327575,-0.86235875,0.04899678,-33.884453,74.png,2
75,-1.2571251,-0.30788636,1.1261518,39.115288,75.png,2
76,-0.95864433,-0.4904204,-1.9776837,13.321172,76.png,2
77,-0.2204813,0.92155427,-35.892067,-2.062249,77.png,1
78,0.9034927,0.73911196,29.229858,-10.125714,78.png,2
79,1.5327575,-0.86235875,0.15090577,-33.867195,79.png,2
80,-1.2571251,-0.30788636,1.1709025,39.133976,80.png,2
81,-0.95864433,-0.4904204,-1.9515954,13.225185,81.png,2
82,-0.2204813,0.92155427,-35.913055,-1.9543201,82.png,1
83,0.9034927,0.73911196,29.233294,-10.238733,83.png,2
84,1.5327575,-0.86235875,0.047005065,-33.88206,84.png,2
85,-1.2571251,-0.30788636,1.0878153,39.131435,85.png,2
86,-0.95864433,-0.4904204,-1.8740293,13.304947,86.png,2
87,-0.2204813,0.92155427,-35.913048,-1.9543178,87.png,1
88,0.9034927,0.73911196,29.231878,-10.126388,88.png,2
89,1.5327575,-0.86235875,0.05011263,-33.886097,89.png,2
90,-1.2571251,-0.30788636,1.1519414,39.232788,90.png,2
91,-0.95864433,-0.4904204,-1.8743525,13.305682,91.png,2
92,-0.2204813,0.92155427,-35.88955,-1.9433104,92.png,1
93,0.9034927,0.73911196,29.150711,-10.198048,93.png,2
94,1.5327575,-0.86235875,0.048719317,-33.8841,94.png,2
95,-1.2571251,-0.30788636,1.0688219,39.194557,95.png,2
96,-0.95864433,-0.4904204,-1.8744997,13.306012,96.png,2
