,pca0,pca1,tsne0,tsne1,impath,action
0,-1.1703136,0.6381224,30.971163,21.618082,0.png,7
1,-1.2160826,0.21285205,30.99386,-5.3634005,1.png,4
2,-1.2863338,0.44706348,40.58755,-1.59984,2.png,4
3,-1.3360705,0.47561115,26.106201,22.598116,3.png,7
4,-1.4089376,-0.02053391,24.871466,-7.0062675,4.png,4
5,-1.3182733,0.29386702,37.934483,-7.4596,5.png,5
6,-1.0576828,0.59899056,42.260963,4.7155156,6.png,7
7,-1.0907493,0.41843566,36.929714,2.269575,7.png,5
8,-1.2952214,0.03842524,27.889414,-9.926417,8.png,4
9,-1.0748578,0.24133599,28.194893,0.7777807,9.png,4
10,-1.192485,0.3051402,22.845371,6.1342416,10.png,4
11,-1.2159246,0.37197635,25.274023,20.371788,11.png,7
12,-1.2051691,0.07044929,21.762417,-10.006121,12.png,4
13,-1.3279953,-0.111062214,19.513393,-1.4559728,13.png,5
14,-1.2995806,-0.021528153,12.957696,-12.523317,14.png,4
15,-1.4172152,-0.10960673,17.358751,-0.18451293,15.png,4
16,-1.2257761,0.20039722,15.2373705,-0.3818021,16.png,4
17,-1.3882567,0.30391657,24.460636,16.380949,17.png,7
18,-1.2890941,0.21345495,32.007206,-0.7350682,18.png,5
19,-1.0916462,0.322459,6.06981,-9.0614,19.png,4
20,-1.1564231,0.29342932,16.245306,20.45806,20.png,7
21,-1.1970223,0.3077693,16.738033,19.912695,21.png,7
22,-0.9509307,0.5348656,16.521507,19.414818,22.png,7
23,-1.2555382,-0.08980479,10.760546,-4.351738,23.png,5
24,-1.2227389,-0.18090788,9.995296,-8.089033,24.png,5
25,-1.355776,-0.21015838,12.114157,-2.5657043,25.png,4
26,-1.2934935,-0.25082824,14.079635,-6.574249,26.png,4
27,-1.3296725,-0.24258639,11.604989,-1.2599424,27.png,4
28,-1.1882503,-0.09679957,12.191756,0.32128638,28.png,4
29,-0.80019313,0.77647185,33.971848,7.545578,29.png,5
30,-1.085681,-0.15188934,10.369925,-12.904056,30.png,2
31,-0.9546185,0.25733462,5.099203,11.719117,31.png,5
32,-1.0346357,0.123075694,9.195317,-13.694,32.png,2
33,-0.8846764,0.3481268,5.3834767,11.942496,33.png,5
34,-1.043831,0.10761857,9.202431,-13.70605,34.png,4
35,-1.1431017,-0.30330846,1.5276538,1.4236035,35.png,2
36,-1.0631673,0.19935483,12.667272,8.673814,36.png,2
37,-1.0023224,0.14982067,5.826906,11.054184,37.png,5
38,-1.1316932,-0.23573285,4.9903994,-2.3518403,38.png,4
39,-0.9871344,-0.18676077,1.58452,2.2601676,39.png,7
40,-1.0159181,-0.19140226,1.4950945,2.6123314,40.png,6
41,-0.8605741,-0.21056104,1.4131619,2.5582488,41.png,2
